#	Table of MdC to Unicode equivalence
#	MdC here is really "JSesh" MdC.
#	In some cases, "non MdC" means that the sign has no
#	real MdC equivalent (for instance groups).
#	Comments :
#	L3 +s-L3-+l: the MdC orientation is wrong, correct should be +s-L3\R180-+l. We will however keep the wrong orientation,
#	for backward compatibility.
#	Structure : 
#	1st column+s-+l JSesh glyph code (using additional glyphs when necessary)
#	2nd column+s-+l Unicode equivalent
#	3rd column +s-+lUnicode position
#	4th column +s-+lPossible MdC equivalent when the sign is in fact a group.
US1D67CEXTU	D067c	0x130CC	N33*N33:N33*N33	
US1D67DEXTU	D067d	0x130CD	N33*N33*N33:.\25*N33*N33*.\25	
US1D67EEXTU	D067e	0x130CE	N33*N33*N33:N33*N33*N	33
US1D67FEXTU	D067f	0x130CF	N33\90*N33\90*N33\90*N33\90:.\1*N33\90*N33\90*N33\90*.\1	
US1D67GEXTU	D067g	0x130D0	N33*N33*N33*N33:N33*N33*N33*N33	
US1D67HEXTU	D067h	0x130D1	N33*N33*N33:N33*N33*N33:N33*N33*N33	
E1	E001	0x130D2	
E2	E002	0x130D3	
E3	E003	0x130D4	
E4	E004	0x130D5	
E5	E005	0x130D6	
E6	E006	0x130D7	
E7	E007	0x130D8	
E8	E008	0x130D9	
E8A	E008a	0x130DA	
E9	E009	0x130DB	
E100	E009a	0x130DC	
E10	E010	0x130DD	
E11	E011	0x130DE	
E12	E012	0x130DF	
E13	E013	0x130E0	
E14	E014	0x130E1	
E15	E015	0x130E2	
E16	E016	0x130E3	
E16AEXTU	E016a	0x130E4	
E17	E017	0x130E5	
E141	E017a	0x130E6	
E18	E018	0x130E7	
E19	E019	0x130E8	
E20	E020	0x130E9	
E147	E020a	0x130EA	
E21	E021	0x130EB	
E22	E022	0x130EC	
E23	E023	0x130ED	
E24	E024	0x130EE	
E25	E025	0x130EF	
E26	E026	0x130F0	
E27	E027	0x130F1	
E28	E028	0x130F2	
US1E28AEXTU	E028a	0x130F3	
E29	E029	0x130F4	
E30	E030	0x130F5	
E31	E031	0x130F6	
E32	E032	0x130F7	
E33	E033	0x130F8	
E34	E034	0x130F9	
E34	E034a	0x130FA	
E35	E036	0x130FB	
E45	E037	0x130FC	
E92	E038	0x130FD	
F1	F001	0x130FE	
F63	F001a	0x130FF	
F2	F002	0x13100	
F3	F003	0x13101	
F4	F004	0x13102	
F5	F005	0x13103	
F6	F006	0x13104	
F7	F007	0x13105	
F8	F008	0x13106	
F9	F009	0x13107	
F10	F010	0x13108	
F11	F011	0x13109	
F12	F012	0x1310A	
F13	F013	0x1310B	
F13	F013a	0x1310C	
F14	F014	0x1310D	
F15	F015	0x1310E	
F16	F016	0x1310F	
F17	F017	0x13110	
F18	F018	0x13111	
F19	F019	0x13112	
F20	F020	0x13113	
F21	F021	0x13114	
Ff4	F021a	0x13115	
F22	F022	0x13116	
F23	F023	0x13117	
F24	F024	0x13118	
F25	F025	0x13119	
F26	F026	0x1311A	
F27	F027	0x1311B	
F28	F028	0x1311C	
F29	F029	0x1311D	
F30	F030	0x1311E	
F31	F031	0x1311F	
US22F31AEXTU	F031a	0x13120	
F32	F032	0x13121	
F33	F033	0x13122	
F34	F034	0x13123	
F35	F035	0x13124	
F36	F036	0x13125	
F37	F037	0x13126	
F37B	F037a	0x13127	
F38	F038	0x13128	
F38C	F038a	0x13129	
F39	F039	0x1312A	
F40	F040	0x1312B	
F41	F041	0x1312C	
F42	F042	0x1312D	
F43	F043	0x1312E	
F44	F044	0x1312F	
F45	F045	0x13130	
Aa56	F045a	0x13131	
F46	F046	0x13132	
F46A	F046a	0x13133	
F47	F047	0x13134	
F47A	F047a	0x13135	
F48	F048	0x13136	
F49	F049	0x13137	
F50	F050	0x13138	
F51	F051	0x13139	
US1F51AEXTU	F051a	0x1313A	F51-F51-F51	
US1F51BEXTU	F051b	0x1313B	F51:F51:F51
F51A	F051c	0x1313C	
F52	F052	0x1313D	
F59	F053	0x1313E	
G1	G001	0x1313F	
G2	G002	0x13140	
G3	G003	0x13141	
G4	G004	0x13142	
G5	G005	0x13143	
G6	G006	0x13144	
G139	G006a	0x13145	
G7	G007	0x13146	
G7A	G007a	0x13147	
G7B	G007b	0x13148	
G8	G008	0x13149	
G9	G009	0x1314A	
G10	G010	0x1314B	
G11	G011	0x1314C	
G11A	G011a	0x1314D	
G12	G012	0x1314E	
G13	G013	0x1314F	
G14	G014	0x13150	
G15	G015	0x13151	
G16	G016	0x13152	
G17	G017	0x13153	
G18	G018	0x13154	
G19	G019	0x13155	
G20	G020	0x13156	
G90	G020a	0x13157	
G21	G021	0x13158	
G22	G022	0x13159	
G23	G023	0x1315A	
G24	G024	0x1315B	
G25	G025	0x1315C	
G26	G026	0x1315D	
G26A	G026a	0x1315E	
G27	G027	0x1315F	
G28	G028	0x13160	
G29	G029	0x13161	
G30	G030	0x13162	
G31	G031	0x13163	
G32	G032	0x13164	
G33	G033	0x13165	
G34	G034	0x13166	
G35	G035	0x13167	
G36	G036	0x13168	
G36	G036a	0x13169	
G37	G037	0x1316A	
G37	G037a	0x1316B	
G38	G038	0x1316C	
G39	G039	0x1316D	
G40	G040	0x1316E	
G41	G041	0x1316F	
G42	G042	0x13170	
G43	G043	0x13171	
US1G43AEXTU	G043a	0x13172	t&w	
G44	G044	0x13173	
G45	G045	0x13174	
G247	G045a	0x13175	
G46	G046	0x13176	
G47	G047	0x13177	
G48	G048	0x13178	
G49	G049	0x13179	
G50	G050	0x1317A	
G51	G051	0x1317B	
G52	G052	0x1317C	
G53	G053	0x1317D	
G54	G054	0x1317E	
H1	H001	0x1317F	
H2	H002	0x13180	
H3	H003	0x13181	
H4	H004	0x13182	
H5	H005	0x13183	
H6	H006	0x13184	
H6A	H006a	0x13185	
H7	H007	0x13186	
H8	H008	0x13187	
I1	I001	0x13188	
I2	I002	0x13189	
I3	I003	0x1318A	
I4	I004	0x1318B	
I5	I005	0x1318C	
I5A	I005a	0x1318D	
I6	I006	0x1318E	
I7	I007	0x1318F	
I8	I008	0x13190	
I9	I009	0x13191	
I24	I009a	0x13192	
I10	I010	0x13193	
I31	I010a	0x13194	
I11	I011	0x13195	
US1I11AEXTU	I011a	0x13196	D&&&(t:N17)	
I12	I012	0x13197	
I13	I013	0x13198	
I14	I014	0x13199	
I15	I015	0x1319A	
K1	K001	0x1319B	
K2	K002	0x1319C	
K3	K003	0x1319D	
K4	K004	0x1319E	
K5	K005	0x1319F	
K6	K006	0x131A0	
K7	K007	0x131A1	
K13	K008	0x131A2	
L1	L001	0x131A3	
L2	L002	0x131A4	
US1L2AEXTU	L002a	0x131A5	sw:t-bit:t
US1L3EXTU	L003	0x131A6	L3\R180	
L4	L004	0x131A7	
L5	L005	0x131A8	
L6	L006	0x131A9	
US1L6AEXTU	L006a	0x131AA	
L7	L007	0x131AB	
L8	L008	0x131AC	
M1	M001	0x131AD	
M1A	M001a	0x131AE	
M1E	M001b	0x131AF	
M2	M002	0x131B0	
M3	M003	0x131B1	
M3A	M003a	0x131B2	
M4	M004	0x131B3	
M5	M005	0x131B4	
M6	M006	0x131B5	
M7	M007	0x131B6	
M8	M008	0x131B7	
M9	M009	0x131B8	
M10	M010	0x131B9	
M72	M010a	0x131BA	
M11	M011	0x131BB	
M12	M012	0x131BC	
US1M12AEXTU	M012a	0x131BD	xA-xA	
US1M12BEXTU	M012b	0x131BE	xA-xA-xA	
US1M12CEXTU	M012c	0x131BF	xA-xA-xA-xA	
US1M12DEXTU	M012d	0x131C0	xA-xA-xA-xA-xA	
US1M12EEXTU	M012e	0x131C1	xA*xA*xA:xA*xA*xA	
US1M12FEXTU	M012f	0x131C2	xA*xA*xA*xA:.\1*xA*xA*xA*.\1	
US1M12GEXTU	M012g	0x131C3	xA*xA*xA*xA:xA*xA*xA*xA	
US1M12HEXTU	M012h	0x131C4	xA*xA*xA:xA*xA*xA:xA*xA*xA	
M13	M013	0x131C5	
M14	M014	0x131C6	
M15	M015	0x131C7	
M139	M015a	0x131C8	
M16	M016	0x131C9	
M139B	M016a	0x131CA	
M17	M017	0x131CB	
US1M17AEXTU	M017a	0x131CC	i&i	
M18	M018	0x131CD	
M19	M019	0x131CE	
M20	M020	0x131CF	
M21	M021	0x131D0	
M22	M022	0x131D1	
nn	M022a	0x131D2	
M23	M023	0x131D3	
M24	M024	0x131D4	
M127	M024a	0x131D5	
M25	M025	0x131D6	
M26	M026	0x131D7	
M27	M027	0x131D8	
M28	M028	0x131D9	
M140B	M028a	0x131DA	
M29	M029	0x131DB	
M30	M030	0x131DC	
M31	M031	0x131DD	
US1M31AEXTU	M031a	0x131DE	
M32	M032	0x131DF	
M33	M033	0x131E0	
M33A	M033a	0x131E1	
US1M33BEXTU	M033b	0x131E2	M33B*M33B:M33B	
M34	M034	0x131E3	
M35	M035	0x131E4	
M36	M036	0x131E5	
M37	M037	0x131E6	
M38	M038	0x131E7	
M39	M039	0x131E8	
M40	M040	0x131E9	
US1M40AEXTU	M040a	0x131EA	
M41	M041	0x131EB	
M42	M042	0x131EC	
M43	M043	0x131ED	
M44	M044	0x131EE	
N1	N001	0x131EF	
N2	N002	0x131F0	
N3	N003	0x131F1	
N4	N004	0x131F2	
N5	N005	0x131F3	
N6	N006	0x131F4	
N7	N007	0x131F5	
N8	N008	0x131F6	
N9	N009	0x131F7	
N10	N010	0x131F8	
N11	N011	0x131F9	
N12	N012	0x131FA	
N13	N013	0x131FB	
N14	N014	0x131FC	
N15	N015	0x131FD	
N16	N016	0x131FE	
N17	N017	0x131FF	
N18	N018	0x13200	
N102	N018a	0x13201	
O239	N018b	0x13202	
N19	N019	0x13203	
N20	N020	0x13204	
N21	N021	0x13205	
N22	N022	0x13206	
N23	N023	0x13207	
N24	N024	0x13208	
N25	N025	0x13209	
xAst	N025a	0x1320A	
N26	N026	0x1320B	
N27	N027	0x1320C	
N28	N028	0x1320D	
N29	N029	0x1320E	
N30	N030	0x1320F	
N31	N031	0x13210	
N32	N032	0x13211	
N33	N033	0x13212	
N33A	N033a	0x13213	
N34	N034	0x13214	
N34	N034a	0x13215	
N35	N035	0x13216	
N35A	N035a	0x13217	
N36	N036	0x13218	
N37	N037	0x13219	
N37A	N037a	0x1321A	
N38	N038	0x1321B	
N39	N039	0x1321C	
N40	N040	0x1321D	
N41	N041	0x1321E	
N42	N042	0x1321F	
NL1	NL001	0x13220	
NL2	NL002	0x13221	
NL3	NL003	0x13222	
NL4	NL004	0x13223	
NL5	NL005	0x13224	
NL5a	NL005a	0x13225	
NL6	NL006	0x13226	
NL7	NL007	0x13227	
NL8	NL008	0x13228	
NL9	NL009	0x13229	
NL10	NL010	0x1322A	
NL11	NL011	0x1322B	
NL12	NL012	0x1322C	
NL13	NL013	0x1322D	
NL14	NL014	0x1322E	
NL15	NL015	0x1322F	
NL16	NL016	0x13230	
NL17	NL017	0x13231	
NL17a	NL017a	0x13232	
NL18	NL018	0x13233	
NL19	NL019	0x13234	
NL20	NL020	0x13235	
NU1	NU001	0x13236	
NU2	NU002	0x13237	
NU3	NU003	0x13238	
NU4	NU004	0x13239	
NU5	NU005	0x1323A	
NU6	NU006	0x1323B	
NU7	NU007	0x1323C	
NU8	NU008	0x1323D	
NU9	NU009	0x1323E	
NU10	NU010	0x1323F	
NU10a	NU010a	0x13240	
NU11	NU011	0x13241	
NU11a	NU011a	0x13242	
NU12	NU012	0x13243	
NU13	NU013	0x13244	
NU14	NU014	0x13245	
NU15	NU015	0x13246	
NU16	NU016	0x13247	
NU17	NU017	0x13248	
NU18	NU018	0x13249	
NU18a	NU018a	0x1324A	
NU19	NU019	0x1324B	
NU20	NU020	0x1324C	
NU21	NU021	0x1324D	
NU22	NU022	0x1324E	
NU22a	NU022a	0x1324F	
O1	O001	0x13250	
O54	O001a	0x13251	
O2	O002	0x13252	
O3	O003	0x13253	
O4	O004	0x13254	
O5	O005	0x13255	
O5U	O005a	0x13256	
O6	O006	0x13257	
US1O6AEXTU	O006a	0x13258	<h1--h0>	
US1O6BEXTU	O006b	0x13259	<h2--h	0>
US1O6CEXTU	O006c	0x1325A	<h3--h	0>
US1O6DEXTU	O006d	0x1325B	<h0--h	3>
US1O6EEXTU	O006e	0x1325C	<h0--h	2>
US1O6FEXTU	O006f	0x1325D	<h0--h	1>
O7	O007	0x1325E	
O8	O008	0x1325F	
O9	O009	0x13260	
O10	O010	0x13261	
O10A	O010a	0x13262	
US1O10BEXTU	O010b	0x13263	<h1-bit-h3>	
US248O10CEXTU	O010c	0x13264	kAr**Hr{{148,321,82}}	
O11	O011	0x13265	
O12	O012	0x13266	
O13	O013	0x13267	
O14	O014	0x13268	
O15	O015	0x13269	
O16	O016	0x1326A	
O17	O017	0x1326B	
O18	O018	0x1326C	
O19	O019	0x1326D	
O19A	O019a	0x1326E	
O20	O020	0x1326F	
O20A	O020a	0x13270	
O21	O021	0x13271	
O22	O022	0x13272	
O23	O023	0x13273	
O24	O024	0x13274	
O24A	O024a	0x13275	
O25	O025	0x13276	
O190	O025a	0x13277	
O26	O026	0x13278	
O27	O027	0x13279	
O28	O028	0x1327A	
