Missing EGPZ and unicode signes
glyph D218A (EGZP) not found
glyph D223 (EGZP) not found
glyph D280A (EGZP) not found
glyph D363 (EGZP) not found
glyph D364 (EGZP) not found
glyph D418 (EGZP) not found
glyph E100B (EGZP) not found
glyph E100C (EGZP) not found
glyph E295 (EGZP) not found
glyph F41A (EGZP) not found
glyph F51C (EGZP) not found
glyph F51F (EGZP) not found
glyph F130 (EGZP) not found
glyph F163 (EGZP) not found
glyph F163A (EGZP) not found
glyph G14B (EGZP) not found
glyph G23A (EGZP) not found
glyph G24B (EGZP) not found
glyph G225A (EGZP) not found
glyph H2A (EGZP) not found
glyph H6D (EGZP) not found
glyph L7A (EGZP) not found
glyph L12B (EGZP) not found
glyph M32A (EGZP) not found
glyph M43C (EGZP) not found
glyph M43D (EGZP) not found
glyph M139A (EGZP) not found
glyph M248 (EGZP) not found
glyph N5A (EGZP) not found
glyph N5B (EGZP) not found
glyph N6E (EGZP) not found
glyph N16D (EGZP) not found
glyph N23A (EGZP) not found
glyph N23B (EGZP) not found
glyph N31J (EGZP) not found
glyph N36C (EGZP) not found
glyph N40B (EGZP) not found
glyph N63A (EGZP) not found
glyph N71A (EGZP) not found
glyph N145 (EGZP) not found
glyph NL1A (EGZP) not found
glyph NL1B (EGZP) not found
glyph NL1C (EGZP) not found
glyph NL2A (EGZP) not found
glyph NL3A (EGZP) not found
glyph NL3B (EGZP) not found
glyph NL4A (EGZP) not found
glyph NL4B (EGZP) not found
glyph NL4C (EGZP) not found
glyph NL5B (EGZP) not found
glyph NL5C (EGZP) not found
glyph NL6A (EGZP) not found
glyph NL7A (EGZP) not found
glyph NL7B (EGZP) not found
glyph NL7C (EGZP) not found
glyph NL7D (EGZP) not found
glyph NL8A (EGZP) not found
glyph NL8B (EGZP) not found
glyph NL9A (EGZP) not found
glyph NL9B (EGZP) not found
glyph NL11A (EGZP) not found
glyph NL12A (EGZP) not found
glyph NL14A (EGZP) not found
glyph NL15A (EGZP) not found
glyph NL18A (EGZP) not found
glyph NL20A (EGZP) not found
glyph NU1A (EGZP) not found
glyph NU2A (EGZP) not found
glyph NU2B (EGZP) not found
glyph NU2C (EGZP) not found
glyph NU2D (EGZP) not found
glyph NU2E (EGZP) not found
glyph NU6A (EGZP) not found
glyph NU9A (EGZP) not found
glyph NU10B (EGZP) not found
glyph NU10C (EGZP) not found
glyph NU10D (EGZP) not found
glyph NU11B (EGZP) not found
glyph NU12A (EGZP) not found
glyph NU12B (EGZP) not found
glyph NU13A (EGZP) not found
glyph NU14A (EGZP) not found
glyph NU14B (EGZP) not found
glyph NU14C (EGZP) not found
glyph NU16A (EGZP) not found
glyph NU17A (EGZP) not found
glyph NU17B (EGZP) not found
glyph NU17C (EGZP) not found
glyph NU17D (EGZP) not found
glyph NU18B (EGZP) not found
glyph NU21A (EGZP) not found
glyph O15A (EGZP) not found
glyph O31A (EGZP) not found
glyph O31B (EGZP) not found
glyph O44D (EGZP) not found
glyph O49B (EGZP) not found
glyph O246 (EGZP) not found
glyph O289A (EGZP) not found
glyph O354 (EGZP) not found
glyph P2G (EGZP) not found
glyph P4A (EGZP) not found
glyph P4F (EGZP) not found
glyph P4G (EGZP) not found
glyph P5W (EGZP) not found
glyph P57 (EGZP) not found
glyph P60D (EGZP) not found
glyph Q18B (EGZP) not found
glyph R10J (EGZP) not found
glyph R15C (EGZP) not found
glyph R22A (EGZP) not found
glyph R23C (EGZP) not found
glyph R24B (EGZP) not found
glyph R24C (EGZP) not found
glyph R24D (EGZP) not found
glyph R25A (EGZP) not found
glyph R25B (EGZP) not found
glyph R61B (EGZP) not found
glyph S34A (EGZP) not found
glyph S40A (EGZP) not found
glyph S42B (EGZP) not found
glyph T83B (EGZP) not found
glyph T142 (EGZP) not found
glyph T143 (EGZP) not found
glyph U3A (EGZP) not found
glyph U6C (EGZP) not found
glyph U7E (EGZP) not found
glyph U39R (EGZP) not found
glyph U40A (EGZP) not found
glyph U116A (EGZP) not found
glyph V1J (EGZP) not found
glyph V6A (EGZP) not found
glyph V31B (EGZP) not found
glyph V39A (EGZP) not found
glyph V116 (EGZP) not found
glyph W9C (EGZP) not found
glyph W24B (EGZP) not found
glyph W30 (EGZP) not found
glyph W72 (EGZP) not found
glyph X2D (EGZP) not found
glyph Y1A (EGZP) not found
glyph Y1AV (EGZP) not found
glyph Z3C (EGZP) not found
glyph Z6A (EGZP) not found
glyph Z44 (EGZP) not found
glyph Z45 (EGZP) not found
glyph Z46 (EGZP) not found
glyph AA1A (EGZP) not found
glyph AA12V (EGZP) not found
